title,content,tokens
Page 94,"properly attribute work that you share,you not only rob the person who made it,you rob all the people you’ve shared it with.Without attribution,they have no way to dig deeper into the work or find more of it. So,what makes for great attribution? Attribution is all about providing context for what you’re sharing: what the work is,who made it,how they made it,when and where it was made,why you’re sharing it,why people should care about it,and where people can see some more work like it. Attribution is about putting little museum labels next to the stuff you share. Another form of attribution that we often neglect is where we found the work that we’re sharing.It’s always good practice to give a shout-out to the people who’ve helped you stumble onto good work and also leave a bread-crumb trail that people you’re sharing with can follow back to the sources of your inspiration.I’ve come across so many interesting people online by following “via”and “H/T” 85",166
Page 95,86,5
Page 96,"links—I’d have been robbed of a lot of these connections if it weren’t for the generosity and meticulous attribution of many of the people I follow. Online,the most important form of attribution is a hyperlink pointing back to the website of the creator of the work.This sends people who come across the work back to the original source.The number one rule of the Internet: People are lazy.If you don’t include a link,no one can click it.Attribution without a link online borders on useless: 99.9 percent of people are not going to bother Googling someone’s name. All of this raises a question: What if you want to share something and you don’t know where it came from or who made it? The answer: Don’t share things you can’t properly credit.Find the right credit,or don’t share. 87",139
Page 97,88,5
Page 98,89,5
Page 99,"Close your eyes and imagine you’re a wealthy collector who’s just entered a gallery in an art museum.On the wall facing you there are two gigantic canvases,each more than 10 feet tall.Both paintings depict a harbor at sunset.From across the room,they look identical: the same ships,the same reflections on the water,the same sun at the same stage of setting.You go in for a closer look.You can’t find a label or a museum tag anywhere.You become obsessed with the paintings,which you nickname Painting A and Painting B.You spend an hour going back and forth from 90",99
Page 100,"canvas to canvas,comparing brushstrokes.You can’t detect a single difference. Just as you go to fetch a museum guard or someone who can shed light on these mysterious twin masterpieces,the head curator of the museum walks in.You eagerly inquire as to the origins of your new obsessions.The curator tells you that Painting A was painted in the 17th century by a Dutch master.“And what of Painting B?”you ask.“Ah yes, Painting B,”the curator says.“That’s a forgery.It was copied last week by a graduate student at the local art college.” Look up at the paintings.Which canvas looks better now? Which one do you want to take home? Art forgery is a strange phenomenon.“You might think that the pleasure you get from a painting depends on its color and its shape and its pattern,”says psychology professor Paul Bloom.“And if that’s right,it shouldn’t matter whether it’s an original or a forgery.” But our brains 91",153
Page 101,"don’t work that way.“When shown an object,or given a food,or shown a face,people’s assessment of it—how much they like it,how valuable it is—is deeply affected by what you tell them about it.” In their book,Significant Objects,Joshua Glenn and Rob Walker recount an experiment in which they set out to test this hypothesis:“Stories are such a powerful driver of emotional value that their effect on any given object’s subjective value can actually be measured objectively.” First, they went out to thrift stores,flea markets,and yard sales and bought a bunch of “insignificant” objects for an average of “To fake a photograph, $1.25 an object.Then,they all you have to do is change the caption. To hired a bunch of writers,both fake a painting, change famous and not-so-famous,to the attribution.” invent a story “that attributed —Errol Morris significance”to each object. Finally,they listed each object 92",144
Page 102,"on eBay,using the invented stories as the object’s description, and whatever they had originally paid for the object as the auction’s starting price.By the end of the experiment,they had sold $128.74 worth of trinkets for $3,612.51. Words matter.Artists love to trot out the tired line,“My work speaks for itself,” but the truth is,our work doesn’t speak for itself.Human beings want to know where things came from,how they were made,and who made them.The stories you tell about the work you do have a huge effect on how people feel and what they understand about your work, and how people feel and what they understand about your work effects how they value it. “Why should we describe the frustrations and turning points in the lab,or all the hours of groundwork and failed images that precede the final outcomes?”asks artist Rachel Sussman.“Because,rarified exceptions aside,our audience is a human one,and humans want to connect.Personal stories 93",155
Page 103,94,5
Page 104,"can make the complex more tangible,spark associations,and offer entry into things that might otherwise leave one cold.” Your work doesn’t exist in a vacuum.Whether you realize it or not,you’re already telling a story about your work.Every email you send,every text,every conversation,every blog comment,every tweet,every photo,every video—they’re all bits and pieces of a multimedia narrative you’re constantly constructing.If you want to be more effective when sharing yourself and your work,you need to become a better storyteller.You need to know what a good story is and how to tell one. “‘The cat sat on a mat’ is not a story. ‘The cat sat on the dog’s mat’ is a story.” —John le Carré 95",116
Page 105,"“In the first act, you get your hero up a tree. The second act, you throw rocks at him. For the third act, you let him down.” —George Abbott 96",34
Page 106,97,5
Page 107,"The most important part of a story is its structure.A good story structure is tidy,sturdy,and logical.Unfortunately, most of life is messy,uncertain,and illogical.A lot of our raw experiences don’t fit neatly into a traditional fairy tale or a Hollywood plot.Sometimes we have to do a lot of cropping and editing to fit our lives into something that resembles a story.If you study the structure of stories,you start to see how they work,and once you know how they work,you can then start stealing story structures and filling them in with characters,situations,and settings from your own life. Most story structures can be traced back to myths and fairy tales.Emma Coats,a former storyboard artist at Pixar, outlined the basic structure of a fairy tale as a kind of Mad Lib that you can fill in with your own elements:“Once upon a time,there was _____.Every day,_____.One day, _____.Because of that,_____.Because of that,_____. Until finally,_____.”Pick your favorite story and try to fill in the blanks.It’s striking how often it works. 98",169
Page 108,"Philosopher Aristotle said a story had a beginning, a middle,and an end.Author John Gardner said the basic plot of nearly all stories is this:“A character wants something,goes after it despite opposition (perhaps including his own doubts),and so arrives at a win,lose,or draw.”I like Gardner’s plot formula because it’s also the shape of most creative work: You get a great idea,you go through the hard work of executing the idea,and then you release the idea out into the world,coming to a win,lose, or draw.Sometimes the idea succeeds,sometimes it fails, and more often than not,it does nothing at all.This simple formula can be applied to almost any type of work project: There’s the initial problem,the work done to solve the problem,and the solution. Of course,when you’re in the middle of a story,as most of us in life are,you don’t know if it’s a story at all,because you don’t know how far into it you are,and you don’t know how it’s going to end.Fortunately,there’s a way to tell open- 99",171
Page 109,100,5
Page 110,"ended stories,where we acknowledge that we’re smack-dab in the middle of a story,and we don’t know how it all ends. Every client presentation,every personal essay,every cover letter,every fund-raising request—they’re all pitches. They’re stories with the endings chopped off.A good pitch is set up in three acts:The first act is the past,the second act is the present,and the third act is the future.The first act is where you’ve been—what you want,how you came to want it,and what you’ve done so far to get it.The second act is where you are now in your work and how you’ve worked hard and used up most of your resources.The third act is where you’re going,and how exactly the person you’re pitching can help you get there.Like a Choose Your Own Adventure book,this story shape effectively turns your listener into the hero who gets to decide how it ends. Whether you’re telling a finished or unfinished story,always keep your audience in mind.Speak to them directly in plain language.Value their time.Be brief.Learn to speak.Learn 101",173
Page 111,102,5
Page 112,"to write.Use spell-check.You’re never “keeping it real”with your lack of proofreading and punctuation,you’re keeping it unintelligible. Everybody loves a good story,but good storytelling doesn’t come easy to everybody.It’s a skill that takes a lifetime to master.So study the great stories and then go find some of your own.Your stories will get better the more you tell them. 103",62
Page 113,“You got to make your case.” —Kanye West 104,13
Page 114,"We’ve all been there.You’re standing at a party,enjoying your drink,when a stranger approaches,introduces herself, and asks the dreaded question,“So,what do you do?” If you happen to be a doctor or a teacher or a lawyer or a plumber,congratulations.You may proceed without caution. For the rest of us,we’re going to need to practice our answers. 105",59
Page 115,"Artists have it the worst.If you answer,“I’m a writer,”for example,there’s a very good chance that the next question will be,“Oh,have you published anything?”which is actually a veiled way of asking,“Do you make any money off that?” The way to get over the awkwardness in these situations is to stop treating them as interrogations,and start treating them as opportunities to connect with somebody by honestly and humbly explaining what it is that you do.You should be able to explain your work to a kindergartner,a senior citizen,and everybody in between.Of course,you always need to keep your audience in mind:The way you explain your work to your buddies at the bar is not the way you explain your work to your mother. Just because you’re trying to tell a good story about yourself doesn’t mean you’re inventing fiction.Stick to nonfiction. Tell the truth and tell it with dignity and self-respect.If you’re a student,say you’re a student.If you work a day job, 106",163
Page 116,107,5
Page 117,"say you work a day job.(For years,I said,“By day I’m a web designer,and by night I write poetry.”) If you have a weird hybrid job,say something like,“I’m a writer who draws.”(I stole that bio from the cartoonist Saul Steinberg.) If you’re unemployed,say so,and mention what kind of work you’re looking for.If you’re employed,but you don’t feel good about your job title,ask yourself why that is.Maybe you’re in the wrong line of work,or maybe you’re not doing the work you’re supposed to be doing.(There were many years where answering,“I’m a writer,”felt wrong,because I wasn’t actually writing.) Remember what the author George Orwell wrote:“Autobiography is only to be trusted when it reveals something disgraceful.” Have empathy for your audience.Anticipate blank stares. Be ready for more questions.Answer patiently and politely. All the same principles apply when you start writing your bio.Bios are not the place to practice your creativity.We all like to think we’re more complex than a two-sentence 108",161
Page 118,"explanation,but a two-sentence explanation is usually what the world wants from us.Keep it short and sweet. Strike all the adjectives from your bio.If you take photos, you’re not an “aspiring”photographer,and you’re not an “amazing”photographer,either.You’re a photographer. Don’t get cute.Don’t brag.Just state the facts. One more thing: Unless you are actually a ninja,a guru,or a rock star,don’t ever use any of those terms in your bio.Ever. “Whatever we say, we’re always talking about ourselves.” —Alison Bechdel 109",80
Page 119,110,5
Page 120,111,5
Page 121,"“The impulse to keep to yourself what you have learned is not only shameful, it is destructive. Anything you do not give freely and abundantly becomes lost to you. You open your safe and find ashes.” —Annie Dillard 112",43
Page 122,"The world of barbecue is notoriously secretive and competitive,so it was a little bit of a shock last winter for me to be standing behind the legendary Franklin Barbecue here in Austin,Texas,watching pitmaster and barbecue wizard Aaron Franklin explain how he smokes his famous ribs in front of a camera crew.My friend Sara Robertson, a producer at the local PBS station KLRU,had invited me to watch a taping of BBQ with Franklin—a crowdfunded YouTube series designed to take viewers through every step of the barbecue process.In the series,Franklin explains how 113",95
Page 123,"to modify an off-the-shelf smoker,how to select the right wood,how to build a fire,how to select a cut of meat,what temperature to smoke the meat at,and how to slice up the finished product. I started eating at Franklin Barbecue in 2010 when it was served out of a trailer off Interstate 35.In only three years, Franklin has become one of the most famous barbecue joints in the world.(Bon Appétit called it “the best BBQ in Texas,if not America.”) Six days a week,rain or 100-degree sunshine,there’s a line that goes around the block.And each one of those days,they sell out of meat.If ever it seemed like there was a business that would be intent to keep its secrets to itself,it would be this one. When I got to talk to Aaron and his wife,Stacy,during a break in filming,they explained that the technique of barbecue is actually very simple,but it takes years and years to master.There’s an intuition that you only gain through the repetition of practice.Aaron told me that he trains 114",175
Page 124,115,5
Page 125,"all his employees the same way,but when he cuts into a brisket,he can tell you exactly who did the smoking. Teaching doesn’t mean instant competition.Just because you know the master’s technique doesn’t mean you’re going to be able to emulate it right away.You can watch Franklin’s tutorials over and over,but are you ready to start spending 22 hours a day smoking meat that will sell out in two hours? Probably not.If you’re me,you’ll pay the $13 a pound even more gladly. The Franklins also just genuinely love barbecue,and they go out of their way to share their knowledge.People often stop by with their own attempts at brisket,and Aaron is always gracious and patient when answering their questions.You don’t get the feeling that any of this is calculated,it’s just the way they operate—they started out as beginners,and so they feel an obligation to pass on what they’ve learned. Of course,many chefs and restaurateurs have become rich and famous by sharing their recipes and their techniques. 116",169
Page 126,"In their book, Rework, Jason Fried and David Heinemeier Hansson encourage businesses to emulate chefs by out- teaching their competition.“What do you do? What are your ‘recipes’? What’s your ‘cookbook’? What can you tell the world about how you operate that’s informative, educational,and promotional?”They encourage businesses to figure out the equivalent of their own cooking show. Think about what you can share from your process that would inform the people you’re trying to reach.Have you learned a craft? What are your techniques? Are you skilled at using certain tools and materials? What kind of knowledge comes along with your job? The minute you learn something,turn around and teach it to others.Share your reading list.Point to helpful reference materials.Create some tutorials and post them online. Use pictures,words,and video.Take people step-by-step through part of your process.As blogger Kathy Sierra says, “Make people better at something they want to be better at.”  117",154
Page 127,118,5
Page 128,"Teaching people doesn’t subtract value from what you do, it actually adds to it.When you teach someone how to do your work,you are,in effect,generating more interest in your work.People feel closer to your work because you’re letting them in on what you know. Best of all,when you share your knowledge and your work with others,you receive an education in return.Author Christopher Hitchens said that the great thing about putting out a book is that “it brings you into contact with people whose opinions you should have canvassed before you ever pressed pen to paper.They write to you.They telephone you.They come to your bookstore events and give you things to read that you should have read already.” He said that having his work out in the world was “a free education that goes on for a lifetime.” 119",140
Page 129,120,5
Page 130,121,5
Page 131,"“When people realize they’re being listened to, they tell you things.” —Richard Ford 122",18
Page 132,"When I was in college,there was always one classmate in every creative writing workshop who claimed,“I love to write,but I don’t like to read.” It was evident right away that you could pretty much write that kid off completely. As every writer knows,if you want to be a writer,you have to be a reader first. “The writing community is full of lame-o people who want to be published in journals even though they don’t read the magazines that they want to be published in,”says writer Dan Chaon.“These people deserve the rejections that they 123",97
Page 133,"will undoubtedly receive,and no one should feel sorry for them when they cry about how they can’t get anyone to accept their stories.” I call these people human spam.They’re everywhere,and they exist in every profession.They don’t want to pay their dues,they want their piece right here,right now.They don’t want to listen to your ideas; they want to tell you theirs. They don’t want to go to shows,but they thrust flyers at you on the sidewalk and scream at you to come to theirs.You should feel pity for these people and their delusions.At some point,they didn’t get the memo that the world owes none of us anything. Of course,you don’t have to be a nobody to be human spam—I’ve watched plenty of interesting,successful people slowly turn into it.The world becomes all about them and their work.They can’t find the time to be interested in anything other than themselves. 124",152
Page 134,125,5
Page 135,"No matter how famous they get,the forward-thinking artists of today aren’t just looking for fans or passive consumers of their work,they’re looking for potential collaborators,or co-conspirators.These artists acknowledge that good work isn’t created in a vacuum,and that the experience of art is always a two-way street,incomplete without feedback.These artists hang out online and answer questions.They ask for reading recommendations.They chat with fans about the stuff they love. The music producer Adrian Younge was hanging out on Twitter one day and tweeted,“Who is better:The Dramatics or The Delfonics?”As his followers erupted in a debate over the two soul groups,one follower mentioned that the lead singer of The Delfonics,William Hart,was a friend of his dad’s and that Hart just happened to be a fan of Younge’s music.The follower suggested that the two should collaborate.“To make a long story short,”Younge says,“a day later,I’m on the phone with William Hart and 126",152
Page 136,"we’re speaking for like two hours ...we hit it off in a way that was just cosmic.”Younge then produced a brand-new record with Hart,Adrian Younge PresentsThe Delfonics. That story is great for two reasons.One,it’s the only story of an album I know of whose existence can be traced to a single tweet.Two,it shows what happens when a musician interacts with his fans on the level of a fan himself. If you want fans,you have to be a fan first.If you want to be accepted by a community,you have to first be a good citizen of that community.If you’re only pointing to your own stuff online,you’re doing it wrong.You have to be a connector. The writer Blake Butler calls this being an open node. If you want to get,you have to give.If you want to be noticed, you have to notice.Shut up and listen once in a while.Be thoughtful.Be considerate.Don’t turn into human spam. Be an open node. 127",162
Page 137,"“What you want is to follow and be followed by human beings who care about issues you care about. This thing we make together. This thing is about hearts and minds, not eyeballs.” —Jeffrey Zeldman 128",40
Page 138,"Stop worrying about how many people follow you online and start worrying about the quality of people who follow you.Don’t waste your time reading articles about how to get more followers.Don’t waste time following people online just because you think it’ll get you somewhere.Don’t talk to people you don’t want to talk to,and don’t talk about stuff you don’t want to talk about. If you want followers,be someone worth following.Donald Barthelme supposedly said to one of his students,“Have 129",83
Page 139,130,5
Page 140,"you tried making yourself a more interesting person?” This seems like a really mean thing to say,unless you think of the word interesting the way writer Lawrence Weschler does: For him,to be “interest-ing”is to be curious and attentive, and to practice “the continual projection of interest.”To put it more simply: If you want to be interesting,you have to be interested. It is actually true that life is all about “who you know.”But who you know is largely dependent on who you are and what you do,and the people you know can’t do anything for you if you’re not doing good work.“Connections don’t mean shit,”says record producer Steve Albini.“I’ve never had any connections that weren’t a natural outgrowth of doing things I was doing anyway.”Albini laments how many people waste time and energy trying to make connections instead of getting good at what they do,when “being good at things is the only thing that earns you clout or connections.” 131",163
Page 141,Make stuff you love and talk about stuff you love and you’ll attract people who love that kind of stuff.It’s that simple. Don’t be creepy. Don’t be a jerk. Don’t waste people’s time.Don’t ask too much.And don’t ever ever ask people to follow you.“Follow me back?”is the saddest question on the Internet. 132,57
Page 142,"“Whatever excites you, go do it. Whatever drains you, stop doing it.” —Derek Sivers 133",19
Page 143,"There’s a funny story in John Richardson’s biography, A Life of Picasso. Pablo Picasso was notorious for sucking all the energy out of the people he met.His granddaughter Marina claimed that he squeezed people like one of his tubes of oil paints.You’d have a great time hanging out all day with Picasso,and then you’d go home nervous and exhausted,and Picasso would go back to his studio and paint all night,using the energy he’d sucked out of you. Most people put up with this because they got to hang out with Picasso all day,but not Constantin Brancusi, the Romanian-born sculptor.Brancusi hailed from the Carpathian Mountains,and he knew a vampire when he saw one.He was not going to have his energy or the fruits of his energy juiced by Picasso,so he refused to have anything to do with him. Brancusi practiced what I call The Vampire Test.It’s a simple way to know who you should let in and out of your life.If,after hanging out with someone you feel worn out 134",173
Page 144,135,5
Page 145,"and depleted,that person is a vampire.If,after hanging out with someone you still feel full of energy,that person is not a vampire.Of course,The Vampire Test works on many things in our lives,not just people—you can apply it to jobs, hobbies,places,etc. Vampires cannot be cured.Should you find yourself in the presence of a vampire,be like Brancusi,and banish it from your life forever. 136",65
Page 146,“Part of the act of creating is in discovering your own kind. They are everywhere. But don’t look for them in the wrong places.” —Henry Miller 137,31
Page 147,"I recently became fascinated by the baseball pitcher R.A.Dickey.Dickey’s pitch is the knuckleball—a slow, awkward pitch that’s really hard to throw with any kind of consistency.When a pitcher throws a knuckleball,he releases the baseball with as little spin as possible.The air current moves against the baseball’s seams,and it makes the baseball move really strangely.Once a good knuckleball is 138",63
Page 148,"thrown,it’s equally unpredictable to the batter,the catcher, and the pitcher who threw it.(Sounds a lot like the creative process,huh?) Knuckleball pitchers are basically the ugly ducklings of baseball.Because there are so few of them,they actually form a kind of brotherhood,and they often get together and share tips with one another.Dickey writes about how rare this is in his memoir,Wherever I Wind Up:“There’s no chance that an opposing pitcher,no matter how nice a guy,is going to invite me to watch how he grips and throws his split-fingered fastball or slider.Those are state secrets.”With his fellow knuckleballers,however,things are different:“Knuckleballers don’t keep secrets.It’s as if we have a greater mission beyond our own fortunes.And that mission is to pass it on,to keep the pitch alive.” As you put yourself and your work out there,you will run into your fellow knuckleballers.These are your real peers— the people who share your obsessions,the people who share 139",155
Page 149,140,5
Page 150,"a similar mission to your own,the people with whom you share a mutual respect.There will only be a handful or so of them,but they’re so,so important.Do what you can to nurture your relationships with these people.Sing their praises to the universe.Invite them to collaborate.Show them work before you show anybody else.Call them on the phone and share your secrets.Keep them as close as you can. “It’s all about paying attention. Attention is vitality. It connects you with others.” —Susan Sontag 141",85
Page 151,"“You and I will be around a lot longer than Twitter, and nothing substitutes face to face.” —Rob Delaney 142",24
Page 152,"It freaks me out a little bit how many of my very favorite people in the world came into my life as ones and zeros. I love meeting my online friends “IRL.”(IRL = in real life.) There’s never any small talk—we know all about one another and what one another does.We can just sip beer or some other social lubricant and talk about big ideas.There’s been a few times that I’ve asked people what they think the best thing about being online is,and they’ll point around the table and say,“What we’re doing here.” I love the phenomenon of “meetups”—an online community throwing a party at a bar or a restaurant and inviting everybody to show up at a certain place and time. There’s a lot of these kinds of events in Austin,and I’m sure there’s a bunch in your town,too.(If there aren’t any—set one up!) They’re a lot less stressful than traditional forms of networking because you already know a lot of the people who show up,and you’ve seen their work. 143",176
Page 153,144,5
Page 154,"Of course,a meetup doesn’t have to comprise a huge group of people.If you’ve been friends for a while with somebody online and you live in the same town,ask them if they want to grab a coffee.If you want to go all out,offer to buy them lunch.If you’re traveling,let your online friends know you’re going to be in town.I like asking my artist friends to take me to their favorite art museums and asking my writer friends to take me to their favorite bookstore. If we get sick of talking to one another, we can browse, and if we get sick of browsing, we can grab a coffee in the café. Meeting people online is awesome,but turning them into IRL friends is even better. 145",128
Page 155,146,5
Page 156,147,5
Page 157,"“I ain’t going to give up. Every time you think I’m one place, I’m going to show up someplace else. I come pre-hated. Take your best shot.” —Cyndi Lauper 148",34
Page 158,"Designer Mike Monteiro says that the most valuable skill he picked up in art school was learning how to take a punch.He and his fellow classmates were absolutely brutal during critiques.“We were basically trying to see if we could get each other to drop out of school.” Those vicious critiques taught him not to take criticism personally. When you put your work out into the world,you have to be ready for the good,the bad,and the ugly.The more people come across your work,the more criticism you’ll face.Here’s how to take punches: Relax andbreathe.The trouble with imaginative people is that we’re good at picturing the worst that could happen 149",111
Page 159,150,5
Page 160,"to us.Fear is often just the imagination taking a wrong turn.Bad criticism is not the end of the world.As far as I know,no one has ever died from a bad review.Take a deep breath and accept whatever comes.(Consider practicing meditation—it works for me.) Strengthenyourneck.The way to be able to take a punch is to practice getting hit a lot.Put out a lot of work.Let people take their best shot at it.Then make even more work and keep putting it out there.The more criticism you take, the more you realize it can’t hurt you. Roll with thepunches. Keep moving.Every piece of criticism is an opportunity for new work.You can’t control what sort of criticism you receive,but you can control how you react to it.Sometimes when people hate something about your work,it’s fun to push that element even further. To make something they’d hate even more.Having your work hated by certain people is a badge of honor. 151",160
Page 161,"Protect yourvulnerableareas. If you have work that is too sensitive or too close to you to be exposed to criticism, keep it hidden.But remember what writer Colin Marshall says:“Compulsive avoidance of embarrassment is a form of suicide.”If you spend your life avoiding vulnerability,you and your work will never truly connect with other people. Keep yourbalance.You have to remember that your work is something you do,not who you are.This is especially hard for artists to accept,as so much of what they do is personal. Keep close to your family,friends,and the people who love you for you,not just the work. 152",103
Page 162,“The trick is not caring what EVERYBODY thinks of you and just caring about what the RIGHT people think of you.” —Brian Michael Bendis 153,29
Page 163,"The first step in evaluating feedback is sizing up who it came from.You want feedback from people who care about you and what you do.Be extra wary of feedback from anybody who falls outside of that circle. A troll is a person who isn’t interested in improving your work,only provoking you with hateful,aggressive,or upsetting talk.You will gain nothing by engaging with these people.Don’t feed them,and they’ll usually go away. Trolls can come out of nowhere and pop up in unexpected places.Right after my son was born,this woman 154",92
Page 164,"(presumably a follower,if not a fan) got on Twitter and sent me half a dozen tweets about how she just knew my book Steal Like an Artist was written by somebody without kids,and just you wait,mister.She then proceeded to quote passages from the book,followed by little ejaculations like, “Ha! Try that when you’re up at three a.m.with a crying baby!” Now,I have been on the Internet a long time.I get a lot of emails from people who are,as far as I can tell,sad,awful, or completely insane.I have a pretty good mental firewall that filters what I let get to me. This woman got to me. Because,of course,the worst troll is the one that lives in your head.It’s the voice that tells you you’re not good enough,that you suck,and that you’ll never amount to anything.It’s the voice that told me I’d never write another good word after becoming a father.It is one thing to have 155",158
Page 165,156,5
Page 166,"the troll in your brain,it is another thing to have a stranger hold a megaphone up to it and let it shout. Do you have a troll problem? Use the block button on social media sites.Delete nasty comments.My wife is fond of saying,“If someone took a dump in your living room, you wouldn’t let it sit there,would you?”Nasty comments are the same—they should be scooped up and thrown in the trash. At some point,you might consider turning off comments completely.Having a form for comments is the same as inviting comments.“There’s never a space under paintings in a gallery where someone writes their opinion,”says cartoonist Natalie Dee.“When you get to the end of a book, you don’t have to see what everyone else thought of it.”Let people contact you directly or let them copy your work over to their own spaces and talk about it all they want. 157",152
Page 167,158,5
Page 168,159,5
Page 169,"“Sellout . . . I’m not crazy about that word. We’re all entrepreneurs. To me, I don’t care if you own a furniture store or whatever—the best sign you can put up is sold out .” —Bill Withers 160",43
Page 170,"People need to eat and pay the rent.“An amateur is an artist who supports himself with outside jobs which enable him to paint,”said artist Ben Shahn.“A professional is someone whose wife works to enable him to paint.”Whether an artist makes money off his work or not,money has to come from somewhere,be it a day job,a wealthy spouse,a trust fund,an arts grant,or a patron. We all have to get over our “starving artist”romanticism and the idea that touching money inherently corrupts 161",85
Page 171,162,5
Page 172,"creativity.Some of our most meaningful and most cherished cultural artifacts were made for money. Michelangelo painted the Sistine Chapel ceiling because the pope commissioned him.Mario Puzo wrote The Godfather to make money: He was 45 years old,tired of being an artist,and owed $20,000 to assorted relatives, banks,bookmakers,and shylocks.Paul McCartney has said that he and John Lennon used to sit down before a Beatles songwriting session and say,“Now,let’s write a swimming pool.” Everybody says they want artists to make money,and then when they do,everybody hates them for it.The word sellout is spit out by the bitterest,smallest parts of ourselves.Don’t be one of those horrible fans who stops listening to your favorite band just because they have a hit single.Don’t write off your friends because they’ve had a little bit of success. Don’t be jealous when the people you like do well— celebrate their victory as if it’s your own. 163",153
Page 173,“I’d love to sell out completely. It’s just that nobody has been willing to buy.” —John Waters 164,22
Page 174,"When an audience starts gathering for the work that you’re freely putting into the world,you might eventually want to take the leap of turning them into patrons.The easiest way to do this is to simply ask for donations: Put a little virtual tip jar or a donate now button on your website.These links do well with a little bit of human copy,such as “Like this? Buy me a coffee.”This is a very simple transaction, which is the equivalent of a band passing a hat during a gig—if people are digging what you do,they’ll throw a few bucks your way. If you have work you want to attempt that requires some up-front capital,platforms like Kickstarter and Indiegogo make it easy to run fund-raising campaigns with tiered rewards for donors.It’s important to note that these platforms work best when you’ve already gathered a group of people who are into what you do.The musician Amanda Palmer has had wild success turning her audience into patrons: After showing her work,sharing her music freely, 165",174
Page 175,"and cultivating relationships with her fans,she asked for $100,000 from them to help record her next album.They gave her more than a million dollars. There are certainly some strings attached to crowdfunding—when people become patrons,they feel, not altogether wrongly,that they should have some say in how their money is being used.It’s partly for this reason that my business model is still pretty old-fashioned: I make something and sell it for money.Instead of having a donate now button on my website,I have buy now and hire me buttons.But even though I operate more like a traditional salesman,I do use some of the same tactics as crowdfunders: I try to be open about my process,connect with my audience,and ask them to support me by buying the things I’m selling. Beware of selling the things that you love: When people are asked to get out their wallets,you find out how much they really value what you do.My friend John T.Unger tells 166",163
Page 176,167,5
Page 177,"this terrific story from his days as a street poet.He would do a poetry reading and afterward some guy would come up to him and say,“Your poem changed my life,man!”And John would say,“Oh,thanks.Want to buy a book? It’s five dollars.”And the guy would take the book,hand it back to John,and say,“Nah,that’s okay.” To which John would respond,“Geez,how much is your life worth?” Whether you ask for donations,crowdfund,or sell your products or services,asking for money in return for your work is a leap you want to take only when you feel confident that you’re putting work out into the world that you think is truly worth something.Don’t be afraid to charge for your work,but put a price on it that you think is fair. 168",128
Page 178,"Even if you don’t have anything to sell right now,you should always be collecting email addresses from people who come across your work and want to stay in touch.Why email? You’ll notice a pattern with technology—often the most boring and utilitarian technologies are the ones that stick around the longest.Email is decades and decades old, but it’s nowhere close to being dead.Even though almost everybody hates it,everybody has an email address.And unlike RSS and social media feeds,if you send someone an email,it will land in her inbox,and it will come to her attention.She might not open it,but she definitely has to go to the trouble of deleting it. 169",113
Page 179,"I know people who run multimillion-dollar businesses off of their mailing lists.The model is very simple:They give away great stuff on their sites,they collect emails,and then when they have something remarkable to share or sell,they send an email.You’d be amazed at how well the model works. Keep your own list,or get an account with an email newsletter company like MailChimp and put a little sign- up widget on every page of your website.Write a little bit of copy to encourage people to sign up.Be clear about what they can expect,whether you’ll be sending daily,monthly,or infrequent updates.Never ever add someone’s email address to your mailing list without her permission. The people who sign up for your list will be some of your biggest supporters,just by the simple fact that they signed up for the potential to be spammed by you.Don’t betray their trust and don’t push your luck.Build your list and treat it with respect.It will come in handy. 170",163
Page 180,171,5
Page 181,"“We don’t make movies to make money, we make money to make more movies.” —Walt Disney 172",21
Page 182,"Some awful people use the term sellout to include any artist who dares to have any ambition whatsoever.They’ll say you’re a sellout if you try to make it outside your hometown. They say you’re a sellout if you buy better equipment. They’ll say you’re a sellout if you try anything new at all. “There is a point in one’s life when one cares about selling out and not selling out,”writes author Dave Eggers. “Thankfully,for some,this all passes.”What really matters, Eggers says,is doing good work and taking advantage of every opportunity that comes your way.“I really like saying yes.I like new things,projects,plans,getting people 173",107
Page 183,"together and doing something,trying something,even when it’s corny or stupid.”The people who holler “Sellout!” are all hollering “No!”They’re the people who don’t want things to ever change. Yet a life of creativity is all about change—moving forward, taking chances,exploring new frontiers.“The real risk is in not changing,”said saxophonist John Coltrane.“I have to feel that I’m after something.If I make money,fine.But I’d rather be striving.It’s the striving,man,it’s that I want.” Be ambitious.Keep yourself busy.Think bigger.Expand your audience.Don’t hobble yourself in the name of “keeping it real,”or “not selling out.”Try new things.If an opportunity comes along that will allow you to do more of the kind of work you want to do,say Yes.If an opportunity comes along that would mean more money,but less of the kind of work you want to do,say No. 174",136
Page 184,"“There is no misery in art. All art is about saying yes, and all art is about its own making.” —John Currin 175",27
Page 185,"When you have success,it’s important to use any dough, clout,or platform you’ve acquired to help along the work of the people who’ve helped you get to where you are. Extol your teachers, your mentors, your heroes, your influences,your peers,and your fans.Give them a chance to share their own work.Throw opportunities their way. There’s a caveat to all this: As a human being,you have a finite amount of time and attention.At some point,you have to switch from saying “yes”a lot to saying “no”a lot. “The biggest problem of success is that the world conspires 176",98
